date,val
2000-04-01,2.24
2001-04-01,2.24
2002-04-01,2.35
2003-04-01,2.46
2004-05-01,2.47
2005-06-01,2.58
2006-01-01,2.67
2006-05-01,2.78
2007-01-01,2.89
2007-06-01,3.0
2008-06-01,3.21
2009-07-01,3.43
2010-01-01,3.43
2010-07-01,3.53
2011-07-01,3.64
2012-01-01,3.81
2012-07-01,3.96
2013-01-01,4.03
2013-07-01,4.18
2014-01-01,4.24
2014-07-01,4.29
2015-01-01,4.29
2015-07-01,4.29
2016-01-01,4.29
2016-07-01,4.5
2017-01-01,4.5
2017-07-01,4.5
2018-01-01,4.61
2018-07-01,4.62
2019-01-01,4.71
2019-07-09,4.71
2020-01-14,4.82
2020-07-01,4.82
2021-01-01,4.89
2021-07-01,4.93
2022-01-01,5.04
2022-07-01,5.15
2023-01-01,5.36
2023-07-01,5.58
