date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,405586592.178771
1987,487709497.206704
1988,596648044.692738
1989,695530726.256983
1990,764804469.273743
1991,872067039.106145
1992,958659217.877095
1993,1083240223.46369
1994,1245810055.86592
1995,1320670391.06145
1996,1379888268.15642
1997,1531843575.41899
1998,1665363128.49162
1999,1722905027.93296
2000,1873452513.96648
2001,1896456983.24022
2002,1961843575.41899
2003,2044111731.84358
2004,2254830726.25698
2005,2360017318.43575
2006,2469782681.56425
2007,2677641340.78212
2008,2843024581.00559
2009,2553793296.08939
2010,2453597206.70391
2011,2637859217.87709
2012,2615208379.88827
2013,2727849720.67039
2014,2790849720.67039
2015,2962907262.56983
2016,2983635195.53073
2017,3092429050.27933
2018,3276184357.5419
2019,3395798882.68156
2020,2558906303.88098
2021,3103184101.51354
2022,3544707788.05664
2023,nan
