date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, 1857337995.338
1985, 1897050116.55012
1986, 2097326250.0
1987, 2080796250.0
1988, 2051236250.0
1989, 2253090000.0
1990, 2028553750.0
1991, 1099559027.77778
1992, 652174990.837304
1993, 1185315468.46295
1994, 1880950864.41311
1995, 2392764853.42107
1996, 3199640815.4163
1997, 2258513974.0968
1998, 2545964540.88383
1999, 3212121650.97755
2000, 3480355258.04122
2001, 3922100793.5403
2002, 4348068242.19512
2003, 5611496257.14231
2004, 7184685781.51876
2005, 8052077248.14638
2006, 8896075004.63516
2007, 10677324852.8822
2008, 12881352893.6855
2009, 12044205549.6571
2010, 11926926615.8015
2011, 12890760315.146
2012, 12319834195.331
2013, 12776224496.9718
2014, 13228147516.1168
2015, 11386853113.0189
2016, 11861199830.8396
2017, 13019726211.7369
2018, 15156424015.1977
2019, 15401826127.2539
2020, 15162734205.2462
2021, 17930565118.8176
2022, 18916378860.5488
2023, nan
