date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,35102917960.3088
1969,38249920379.1188
1970,43245967541.0343
1971,49980195754.6625
1972,59593479016.5992
1973,75614829099.2821
1974,143722246048.169
1975,158820613451.28
1976,197693822439.769
1977,228193318228.003
1978,252397273549.797
1979,341727182381.657
1980,464922706719.985
1981,480094377493.219
1982,449527418217.136
1983,423119939334.202
1984,430640108344.537
1985,424154835582.947
1986,411512791338.673
1987,445512045932.976
1988,429625737199.947
1989,460896461734.439
1990,651231622555.595
1991,480685955944.022
1992,485480997990.055
1993,499344733364.61
1994,531889376829.678
1995,564846181458.454
1996,615168379200.27
1997,662599381239.788
1998,649474839551.0
1999,717783506460.08
2000,820573600760.516
2001,803225963243.441
2002,808316115359.455
2003,894211049413.743
2004,1063199673311.84
2005,1304960956783.55
2006,1546220845671.45
2007,1798723747366.95
2008,2264025451530.32
2009,1987928421913.06
2010,2346088525053.08
2011,2567292128049.65
2012,2802930798518.59
2013,2860928547664.85
2014,2907245176944.21
2015,2555806089356.35
2016,2539393624616.74
2017,2639754813099.27
2018,2845898419157.25
2019,2871654771820.86
2020,2535508549316.27
2021,2930480380710.72
2022,3543339785308.86
2023,nan
