date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,109490000000.0
1984,112988571428.571
1985,88416666666.6667
1986,106213829787.234
1987,109029439252.336
1988,126928000000.0
1989,76629657863.6557
1990,141352654305.163
1991,189719984268.485
1992,228778917308.17
1993,236741715015.015
1994,257440000000.0
1995,258031750000.0
1996,272149750000.0
1997,292859000000.0
1998,298948250000.0
1999,283523000000.0
2000,284203750000.0
2001,268696750000.0
2002,97724004251.8602
2003,127586973492.177
2004,164657930452.787
2005,198737095012.282
2006,232557260817.308
2007,287530508430.568
2008,361558037110.419
2009,332976484577.619
2010,423627422092.49
2011,530158122010.442
2012,545982375701.128
2013,552025140252.246
2014,526319673731.638
2015,594749285413.212
2016,557532320662.955
2017,643628393281.364
2018,524819892360.176
2019,447754683615.225
2020,385740508436.965
2021,487902572164.348
2022,631133384439.945
2023,nan
