date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, 1255802469.1358
1995, 1866572953.73665
1996, 2786045321.63743
1997, 3671909673.04401
1998, 4116774300.60671
1999, 4686256363.04707
2000, 5567772768.81189
2001, 5800615466.26648
2002, 6728220886.64546
2003, 8498894359.38629
2004, 10156541538.399
2005, 11222796336.5426
2006, 12864841905.9543
2007, 15778734264.3787
2008, 19112796623.1175
2009, 17613949091.2294
2010, 17176315803.7298
2011, 18644233537.1093
2012, 17226735995.6905
2013, 18179108530.5261
2014, 18558733564.4692
2015, 16404348871.4437
2016, 17116926327.6247
2017, 18326373366.1105
2018, 20484053868.9246
2019, 20482608755.379
2020, 20226036564.4129
2021, 23649568276.8447
2022, 24473906673.7086
2023, nan
