date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, 311809337.473213
1975, 402178605.019554
1976, 435911268.58968
1977, 495097667.929041
1978, 552883707.055139
1979, 670362452.145379
1980, 1012280614.52792
1981, 1114204743.20091
1982, 1163923830.35847
1983, 1236016506.73694
1984, 1346890071.09829
1985, 1409536120.91682
1986, 1547755183.21484
1987, 1704370307.76115
1988, 1812757917.76463
1989, 2006165166.80754
1990, 2012131457.26644
1991, 2020583702.08323
1992, 1957000000.0
1993, 2063342117.03873
1994, 2151344901.30761
1995, 2216974096.35559
1996, 2363645403.47039
1997, 2498384129.66738
1998, 2817083478.34734
1999, 2951822204.54433
2000, 3059500000.0
2001, 3054500000.0
2002, 3106500000.0
2003, 3209500000.0
2004, 3444500000.0
2005, 3819500000.0
2006, 4217450000.0
2007, 4674000000.0
2008, 4785250000.0
2009, 4465500000.0
2010, 4531150000.0
2011, 4656400000.0
2012, 4613850000.0
2013, 4685550000.0
2014, 4707600000.0
2015, 4734000000.0
2016, 4843300000.0
2017, 4992300000.0
2018, 5110250000.0
2019, 5341100000.0
2020, 4738800000.0
2021, 4923100000.0
2022, 5699950000.0
2023, nan
