date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, nan
1995, nan
1996, nan
1997, nan
1998, 5945677376.61477
1999, 6262740656.85164
2000, 6439703434.71024
2001, 6232906290.4851
2002, 6663669064.7482
2003, 7332244897.95918
2004, 8553643354.08275
2005, 8827272727.27273
2006, 9676172953.08188
2007, 11514605842.3369
2008, nan
2009, nan
2010, nan
2011, nan
2012, nan
2013, nan
2014, nan
2015, nan
2016, 9511207129.35458
2017, 9530244530.24453
2018, 10422948632.4216
2019, 10381669645.1366
2020, 9811538461.53846
2021, 11735662219.7772
2022, nan
2023, nan
