date, val
1960, 4110000000.0
1961, 4829238095.2381
1962, 5631285444.23441
1963, 5591307028.36005
1964, 5964195925.4443
1965, 6108679125.7523
1966, 7162633082.31628
1967, 7057478295.18548
1968, 7192102966.84119
1969, 8359596194.01253
1970, 9144112431.28214
1971, 10876091407.9777
1972, 11833904487.641
1973, 16826390943.8597
1974, 16209693232.0782
1975, 7621570062.17598
1976, 10338624019.4415
1977, 13965595122.3247
1978, 15992038535.2046
1979, 21806136345.5074
1980, 29036709871.7949
1981, 34509878043.5897
1982, 19529291438.3712
1983, 20362016603.8243
1984, 19671768029.2843
1985, 17717662227.8036
1986, 18897110581.4531
1987, 22250729663.5188
1988, 26042571602.0453
1989, 29936735454.608
1990, 33137824752.7724
1991, 37846188180.81
1992, 45949608605.2333
1993, 49287378587.5542
1994, 56998601233.0675
1995, 73444831587.4252
1996, 78584098982.9097
1997, 85741415248.4482
1998, 81990010726.0184
1999, 75578685736.1159
2000, 78339750717.0395
2001, 71574739558.6914
2002, 70264045959.6025
2003, 76492579644.0605
2004, 99075985721.5697
2005, 122294145211.371
2006, 153843518110.852
2007, 172491075948.358
2008, 179894594475.98
2009, 171777900623.177
2010, 217051209240.298
2011, 251382574083.741
2012, 267024782642.389
2013, 277395018674.682
2014, 259560978407.095
2015, 242450355827.827
2016, 249344864067.964
2017, 276154259806.312
2018, 295857562826.428
2019, 278598887622.96
2020, 254258196269.735
2021, 316581155648.871
2022, 301024724911.923
2023, nan
