date, val
1960,1880323270.32846
1961,2038320109.62081
1962,2153914775.5786
1963,2290333704.26433
1964,2470286396.10897
1965,2661011039.83332
1966,2888720383.68635
1967,3102560430.51167
1968,3083640785.83329
1969,3359757126.3099
1970,3695313510.6399
1971,4017459619.79346
1972,4639336765.08144
1973,5076146308.61513
1974,6595573432.55088
1975,7706924933.12751
1976,7932351591.9309
1977,9210519152.19017
1978,9433730992.1005
1979,10835454596.5081
1980,13495237648.1002
1981,14890283921.8229
1982,16517790340.3855
1983,16735544600.9098
1984,15982824908.9487
1985,15814763391.8464
1986,14441262133.357
1987,15521767249.6667
1988,16459896532.2234
1989,16872864985.2535
1990,18145262491.2916
1991,18028768358.6827
1992,17750479192.5679
1993,19223181125.8207
1994,20203342207.8666
1995,22268849584.0582
1996,24288307616.5238
1997,28419094413.8668
1998,30366582090.5021
1999,32208819361.665
2000,34552588845.5197
2001,35580943997.6093
2002,37331464587.9012
2003,39893014716.3283
2004,43630425959.2462
2005,49313767403.2814
2006,56077496592.9948
2007,62332145605.8804
2008,70784637901.5853
2009,59841390196.0856
2010,64940854448.0727
2011,70216293656.7862
2012,74185116568.1063
2013,75356800316.8823
2014,77059089418.8565
2015,75749012501.5871
2016,71240254843.9807
2017,73779107435.1508
2018,76540797383.5589
2019,77253744414.7289
2020,65860096129.8181
2021,76123490342.5381
2022,94867024971.9129
2023,nan
