date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, nan
1995, nan
1996, nan
1997, nan
1998, nan
1999, nan
2000, nan
2001, nan
2002, nan
2003, nan
2004, nan
2005, nan
2006, 4200288241.15296
2007, 4466278065.11226
2008, 4585949023.7961
2009, 4281714566.85827
2010, 4156841107.36443
2011, 4186073104.29242
2012, 4291004524.0181
2013, 4405796023.18409
2014, 4562853611.41445
2015, 4708167232.66893
2016, 4909322237.28895
2017, 5166281305.12522
2018, 5530178440.71376
2019, 5941896607.58643
2020, 5647224988.89996
2021, 6028373513.49405
2022, 6844827379.30952
2023, nan
