date, val
1960, 672399700.0
1961, 654100200.0
1962, 824100000.0
1963, 940799900.0
1964, 1025599900.0
1965, 888100000.0
1966, 983900000.0
1967, 1034800000.0
1968, 1079100000.0
1969, 1230500000.0
1970, 1485500000.0
1971, 1666500000.0
1972, 1987400000.0
1973, 2344800000.0
1974, 2925700000.0
1975, 3599200000.0
1976, 3951500000.0
1977, 4587100000.0
1978, 4734400000.0
1979, 5498800000.0
1980, 6761300000.0
1981, 7561300000.0
1982, 8267400000.0
1983, 9220600000.0
1984, 11594000000.0
1985, 5044579979.23285
1986, 6122128557.57243
1987, 5827050753.25937
1988, 5374299981.49698
1989, 6686593059.93691
1990, 7073675544.79021
1991, 9824483339.94518
1992, 11605382504.0
1993, 13081042400.0
1994, 14644734599.4778
1995, 16637370839.1608
1996, 18241622547.5908
1997, 20017450041.3075
1998, 21672215546.7642
1999, 22136579396.9218
2000, 24305780628.6677
2001, 25601823687.5742
2002, 27137440786.2562
2003, 21403167848.1444
2004, 22322387382.494
2005, 35777560683.9366
2006, 37879830084.2627
2007, 43965458508.5056
2008, 48122601530.3324
2009, 48261078913.7266
2010, 53860187257.9593
2011, 58029773599.4551
2012, 60681535652.5373
2013, 62682159338.0354
2014, 67179955677.2791
2015, 71164826836.5281
2016, 75704647877.6559
2017, 79998046305.79
2018, 85555390139.118
2019, 88941372558.2397
2020, 78844656298.1776
2021, 94243425938.3647
2022, 113537368176.13
2023, nan
