date, val
1960, 2723615451.30098
1961, 2434747055.94018
1962, 2001444543.91885
1963, 2702982017.63803
1964, 2909316435.2874
1965, 3136284306.85469
1966, 3039859187.45164
1967, 3370870376.29682
1968, 3852147026.77302
1969, 4257253264.08834
1970, 4863526896.57408
1971, 5077183093.88968
1972, 6766743956.88889
1973, 8707858912.12481
1974, 13209871625.9044
1975, 15557902754.033
1976, 17728240932.3158
1977, 20972113684.9558
1978, 26364491313.4471
1979, 33243706859.6596
1980, 42345829079.2062
1981, 44348590460.9288
1982, 45207167470.3497
1983, 48801369800.3675
1984, 53698548293.0745
1985, 57937868670.1937
1986, 63692007897.3834
1987, 66745818375.493
1988, 59089396860.4342
1989, 55634721572.7343
1990, 62048507531.3357
1991, 45715676428.2766
1992, 48003133346.9957
1993, 49945584452.6506
1994, 42543176828.9237
1995, 41764291671.7711
1996, 46941554225.3582
1997, 48177612042.1507
1998, 48187781984.4881
1999, 48640671734.9711
2000, 54790398570.3282
2001, 54744697926.0681
2002, 56760355865.0082
2003, 67863850333.9526
2004, 85332581188.6107
2005, 103198212442.69
2006, 117027280155.386
2007, 134977082623.78
2008, 171000699876.747
2009, 137211003661.699
2010, 161207307027.186
2011, 200013098817.25
2012, 209059080929.499
2013, 209755003250.664
2014, 213809979836.314
2015, 165979224866.131
2016, 160034212126.018
2017, 170096988531.906
2018, 174910684781.571
2019, 171760275466.61
2020, 145743542982.628
2021, 163472387986.768
2022, 194998449769.085
2023, nan
