date,val
1960,136037236022.39
1961,144519229589.21
1962,148511640353.484
1963,166775260631.99
1964,185276934941.442
1965,199046271838.632
1966,194538356325.161
1967,211738371298.049
1968,230290144067.622
1969,254979072046.622
1970,271582625956.434
1971,293755085805.487
1972,323444302441.409
1973,405416698140.742
1974,568522750972.384
1975,639682910662.153
1976,706852842249.965
1977,793458796947.938
1978,892438011210.26
1979,1085897257201.83
1980,1363197371643.12
1981,1529352460730.91
1982,1443093208304.9
1983,1435738141021.54
1984,1459662641982.74
1985,1460132634641.71
1986,1475759117115.51
1987,1498232946401.19
1988,1559723568017.21
1989,1589428971661.2
1990,1865383681841.56
1991,1975737934666.1
1992,2173358590938.42
1993,2423181289063.27
1994,2549155455096.38
1995,2589976163835.73
1996,2814604962976.37
1997,3007027240585.32
1998,2975617396106.0
1999,3146557650838.14
2000,3440095511579.21
2001,3414281661317.57
2002,3321585463361.85
2003,3692647658874.74
2004,4292615595190.27
2005,4998498520570.03
2006,5711797202730.39
2007,6757951141703.74
2008,7616765103084.0
2009,7332396156491.93
2010,8884031209798.03
2011,9795626070584.94
2012,10243728784860.4
2013,10385185617015.9
2014,10740227594970.8
2015,10216824786880.2
2016,10517811163281.7
2017,11373004521350.2
2018,11504322295801.5
2019,11743140069351.0
2020,10941489484842.6
2021,12716982787439.0
2022,14148420366435.9
2023,nan
