date,val
1960,154531117498.847
1961,155127329777.047
1962,158343678297.945
1963,176591740764.433
1964,202562423066.157
1965,225488669971.227
1966,251973597080.543
1967,273161617537.021
1968,301107124936.329
1969,346736994547.53
1970,413453241726.742
1971,458922270374.23
1972,569888244632.691
1973,751253809753.238
1974,865270508011.096
1975,946981108642.509
1976,1041522827811.58
1977,1241411064805.24
1978,1638378937430.28
1979,1789114467940.66
1980,1956050522366.85
1981,2122690614910.89
1982,2066221743484.45
1983,2190091680061.64
1984,2317598624736.0
1985,2388199816977.65
1986,3123521291594.5
1987,3722067437665.06
1988,4504813026702.21
1989,4699843182591.0
1990,4825135527454.89
1991,5442893719943.36
1992,5983315055353.09
1993,6794132980257.29
1994,7404462060278.98
1995,8407703049147.34
1996,8101522614539.11
1997,7743791381646.73
1998,6931652345852.65
1999,7743499881489.52
2000,8377349540465.25
2001,7789508076035.07
2002,7912757790984.25
2003,8702207399274.63
2004,9758433473126.78
2005,10411317309554.8
2006,11034808224299.4
2007,12331154735962.7
2008,14220141864723.5
2009,14630626964216.5
2010,17078044883355.3
2011,19796911407672.4
2012,21174153362040.6
2013,21411260037373.0
2014,22089565874969.3
2015,21995286337605.6
2016,22775818467016.9
2017,24329068203247.4
2018,26487849774769.5
2019,27032674446875.7
2020,27155249687649.4
2021,31141271720840.7
2022,30712490177155.8
2023,nan
