date,val
1960,2069464936.59762
1961,1753850954.83979
1962,1518207703.89016
1963,1824343870.41393
1964,2244146103.18342
1965,2387047395.70254
1966,2429308638.838
1967,2553595172.08743
1968,2582179864.15493
1969,3112165727.38342
1970,2862503139.00358
1971,2754219271.03082
1972,3185986087.33583
1973,3891754150.23796
1974,6599257044.12414
1975,7731674472.07212
1976,9091921030.17345
1977,11026342618.1141
1978,11922497876.4828
1979,14175160902.0721
1980,17881508242.4481
1981,21810759353.7304
1982,19929846396.4239
1983,17152477036.5005
1984,16912509091.855
1985,17149088413.35
1986,15314138472.3282
1987,13945426859.4657
1988,13051881851.4068
1989,13890823704.5545
1990,15239272611.5809
1991,16988535267.6338
1992,18094238119.0595
1993,18938717358.6793
1994,22708673336.6683
1995,24432884442.2211
1996,25226393196.5983
1997,28162053026.5133
1998,27981896948.4742
1999,19645272636.3182
2000,18327764882.4412
2001,24468324000.0
2002,28548945000.0
2003,32432858000.0
2004,36591661000.0
2005,41507085000.0
2006,46802044000.0
2007,51007777000.0
2008,61762635000.0
2009,62519686000.0
2010,69555367000.0
2011,79276664000.0
2012,87924544000.0
2013,95129659000.0
2014,101726331000.0
2015,99290381000.0
2016,99937696000.0
2017,104295862000.0
2018,107562008000.0
2019,108108009000.0
2020,99291124000.0
2021,106165866000.0
2022,115049476000.0
2023,nan
