date, val
1960,245575034484.155
1961,269780402441.136
1962,299724752489.19
1963,336358141577.652
1964,374154739325.544
1965,408976374349.607
1966,446231131338.637
1967,484883784440.12
1968,520564671447.417
1969,581088775537.233
1970,644565892247.919
1971,730558217755.672
1972,882533204601.872
1973,1145698760371.67
1974,1299297401470.17
1975,1506551041977.91
1976,1572246653107.2
1977,1788382280419.11
1978,2189962818491.86
1979,2652849967504.12
1980,2971159044053.63
1981,2582177794503.23
1982,2500049734466.3
1983,2438980900692.61
1984,2339472355257.19
1985,2403447365327.61
1986,3373099858818.71
1987,4172038112351.14
1988,4588386201192.42
1989,4686851650795.39
1990,5898511575032.55
1991,6132653935089.69
1992,6766063239283.2
1993,6191179704198.15
1994,6535365784573.06
1995,7538231147010.79
1996,7628506032133.83
1997,6976362262242.35
1998,7175100226665.57
1999,7139982837082.76
2000,6517630044431.91
2001,6619383365977.04
2002,7226690863566.02
2003,8897544706855.88
2004,10202235398147.7
2005,10568559669251.5
2006,11233646571123.0
2007,12938431100771.3
2008,14226776960849.6
2009,13000592654770.3
2010,12700497319995.6
2011,13700718631878.4
2012,12695551676378.3
2013,13255496085721.2
2014,13569853388306.0
2015,11726885430565.4
2016,12025583921664.0
2017,12736564381784.9
2018,13760663487274.4
2019,13480528531193.6
2020,13154981793981.9
2021,14754736438720.2
2022,14207593902747.6
2023,nan
