date, val
1960, 12072126075.397
1961, 13834300571.4849
1962, 16138545209.246
1963, 19074913947.7196
1964, 21343844643.7341
1965, 24756958694.9238
1966, 28721062242.1634
1967, 31647119228.1982
1968, 31475548481.4095
1969, 36038711599.541
1970, 40992995008.3195
1971, 46619420359.2814
1972, 59132415221.3306
1973, 78639525985.1513
1974, 97274006345.5437
1975, 114777046376.812
1976, 118507184779.905
1977, 132449277108.434
1978, 160599687500.0
1979, 214601955875.062
1980, 232766822928.754
1981, 202807891511.984
1982, 195996754505.528
1983, 170951185614.849
1984, 172102910370.524
1985, 180793463796.477
1986, 251321075204.942
1987, 318747935588.196
1988, 376160409941.437
1989, 414757056921.996
1990, 536558591250.408
1991, 577166174539.632
1992, 630916018202.503
1993, 525075636030.854
1994, 530562634455.347
1995, 614609020549.773
1996, 642588992512.807
1997, 590077272727.273
1998, 619214834614.1
1999, 634907542858.303
2000, 598363313494.903
2001, 627830029412.205
2002, 708756677088.629
2003, 907491523174.116
2004, 1069055675273.75
2005, 1153715822717.51
2006, 1260398977831.76
2007, 1474002579820.0
2008, 1631863493552.34
2009, 1491472923706.64
2010, 1422108199783.34
2011, 1480710495710.12
2012, 1324750738725.0
2013, 1355579535912.55
2014, 1371820537888.62
2015, 1196156971279.69
2016, 1233554967011.68
2017, 1313245330197.65
2018, 1421702715218.04
2019, 1394320055129.41
2020, 1278128867875.49
2021, 1445651653604.63
2022, 1417800466262.65
2023, nan
