date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,4502970889.06373
1996,4786018988.16491
1997,5154420649.23354
1998,5674080542.88575
1999,5756912265.75809
2000,5686579747.53524
2001,6254649538.98487
2002,7367975887.72723
2003,9874013098.46432
2004,12145911801.2422
2005,14106790200.2239
2006,17022870405.2189
2007,22449129482.617
2008,24341678628.9732
2009,19633031397.6104
2010,19523477325.6235
2011,23213994093.4631
2012,23019150071.1867
2013,25115753366.1114
2014,26634083965.0987
2015,22890762090.1508
2016,24072829276.7744
2017,26924385103.0659
2018,30624720196.229
2019,31081901909.2156
2020,31370395572.7658
2021,37191166151.98
2022,38100812958.5196
2023,nan
