date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,78733594.8411852
1971,78540057.1372472
1972,87702828.5651641
1973,89374237.2881356
1974,98775328.9473684
1975,108985740.155434
1976,112386489.005677
1977,114971207.205384
1978,122666858.789625
1979,118537875.133044
1980,110653830.722704
1981,154731969.69697
1982,165523634.503718
1983,163577538.326314
1984,138478900.628609
1985,143856253.127248
1986,130225018.751151
1987,173836362.010677
1988,164458120.318029
1989,213143016.446378
1990,243961995.512687
1991,257150374.069711
1992,226313443.749086
1993,236880821.656388
1994,235620043.500927
1995,253966922.278198
1996,270419779.418107
1997,268551010.941186
1998,206457553.397101
1999,224446663.800548
2000,371095522.049969
2001,392621389.507734
2002,417806651.117672
2003,477458577.163666
2004,532062894.803123
2005,587029096.028696
2006,592365659.818537
2007,696910784.011006
2008,868154627.875233
2009,830126428.788601
2010,849878489.118426
2011,1099818591.95479
2012,989271155.135142
2013,1046087367.45447
2014,1054915581.35773
2015,1048229633.00189
2016,1179004911.26676
2017,1350177012.24273
2018,1504630233.68158
2019,1439638410.99683
2020,1431758231.68522
2021,1638517606.89496
2022,1633559092.08861
2023,nan
