date, val
1960,nan
1961,nan
1962,9122751.45318345
1963,10840095.1283649
1964,12712471.3960211
1965,64748333.3333333
1966,69110000.0
1967,72317446.9327193
1968,67514285.7142857
1969,67225714.2857143
1970,66331428.5714286
1971,64946954.756798
1972,65429198.238708
1973,81203226.9138345
1974,94159862.7073691
1975,104295643.388437
1976,103653049.93797
1977,103987520.075827
1978,nan
1979,nan
1980,50642880.7737503
1981,36731422.8456914
1982,44294647.733479
1983,44442456.94764
1984,50320914.4065688
1985,62118569.9654481
1986,76407395.8727542
1987,93345859.52973
1988,100534656.881732
1989,88265974.861049
1990,112119411.489965
1991,110906028.536862
1992,134707183.84662
1993,136047906.245408
1994,100807002.540195
1995,141853360.867855
1996,232463022.802961
1997,442337870.69437
1998,370687634.425712
1999,621117885.668503
2000,1045998496.43872
2001,1461139022.02954
2002,1806742742.27311
2003,2484745935.09329
2004,4410764338.66733
2005,8217369092.65224
2006,10086528698.8604
2007,13071718758.7373
2008,19749893536.3204
2009,15027795173.2187
2010,16314443436.2903
2011,21357343668.9447
2012,22388344143.9131
2013,21948834283.7856
2014,21765453081.9826
2015,13185496881.4055
2016,11240808846.6928
2017,12200913887.6419
2018,13097012124.2267
2019,11364133546.2488
2020,9893816016.147
2021,12104994084.4108
2022,12029633746.519
2023,nan
