date, val
1960,1069197896768.27
1961,1132150856599.29
1962,1222092258455.51
1963,1316051012188.71
1964,1436550565253.7
1965,1560159896845.17
1966,1711488832313.27
1967,1836230315691.62
1968,1991173819679.08
1969,2190645844017.67
1970,2399019628554.92
1971,2663395721346.97
1972,3090312537483.64
1973,3740188872264.32
1974,4217063891607.13
1975,4705191478675.08
1976,5127550630961.83
1977,5807869990333.98
1978,6962555327812.4
1979,8047464903015.52
1980,8986821327712.01
1981,9125111440010.14
1982,9032642362011.81
1983,9335135045025.06
1984,9736197166684.45
1985,10222452715917.8
1986,12419208445396.0
1987,14394060946709.8
1988,16205961615906.3
1989,16954908332195.5
1990,19038584120519.8
1991,20141226030673.2
1992,21667616559850.2
1993,21845057481105.6
1994,23425501389994.8
1995,26014334904341.4
1996,26238484750119.7
1997,25790805396452.5
1998,25887178510680.1
1999,27193488574949.8
2000,27763709846117.0
2001,27490207880780.3
2002,28660779913534.8
2003,32123363956699.7
2004,35770309886950.3
2005,37829846771041.5
2006,39961525167019.7
2007,43754245600209.2
2008,46622467342703.7
2009,43665289317606.3
2010,45764260594016.4
2011,49420915501761.6
2012,49446936532750.0
2013,50053500714034.2
2014,51135722778258.5
2015,48269197364265.6
2016,49296300074775.0
2017,51568259173072.6
2018,54836830985504.0
2019,55313082529074.3
2020,53962245346670.1
2021,60245547578675.2
2022,61729512123777.8
2023,nan
