date, val
1960, 15152664081.5753
1961, 16021940790.7186
1962, 16845051101.5485
1963, 18113653277.2232
1964, 19786049553.0782
1965, 21936940148.6962
1966, 23724564497.9833
1967, 24575642156.8128
1968, 25604378671.2037
1969, 27540605696.3552
1970, 29377450919.7279
1971, 31104926324.8995
1972, 33778914292.9758
1973, 41314823603.0361
1974, 48533151935.3025
1975, 56702425640.3388
1976, 61705881254.2075
1977, 70990175561.9013
1978, 83576725987.3931
1979, 96166216635.351
1980, 106548459883.928
1981, 106329101226.376
1982, 103442031043.238
1983, 101110842670.083
1984, 105358309004.826
1985, 101951663360.838
1986, 118925024229.266
1987, 129512120892.956
1988, 139262053659.572
1989, 141692711288.93
1990, 164021216548.024
1991, 178848812133.216
1992, 133471906673.795
1993, 137981322384.669
1994, 116865539463.731
1995, 136391947077.548
1996, 148210088017.774
1997, 154524113488.515
1998, 163053123872.592
1999, 163851765874.226
2000, 177609052466.514
2001, 172625858368.129
2002, 186767852588.124
2003, 211405013752.738
2004, 243337539451.888
2005, 279216950627.647
2006, 329779224429.823
2007, 395383048262.46
2008, 470413768080.616
2009, 476559744369.175
2010, 525994492647.268
2011, 589555494365.611
2012, 610600221849.418
2013, 678796388932.862
2014, 721566723616.048
2015, 700456747973.292
2016, 734760223878.46
2017, 813073071032.465
2018, 774573998850.907
2019, 802980678249.157
2020, 811638956819.199
2021, 901695869344.623
2022, 980688371242.572
2023, nan
