date, val
1960, 273187199.78145
1961, 271065999.783147
1962, 281896799.774483
1963, 294883399.764093
1964, 325281199.739775
1965, 353251799.717399
1966, 368948599.704841
1967, 369124199.704701
1968, 367968799.705625
1969, 391820399.686544
1970, 331199999.73504
1971, 362799999.70976
1972, 371998971.855067
1973, 466798975.004938
1974, 565399296.718132
1975, 681400000.13628
1976, 879000000.1758
1977, 947000000.1894
1978, 974200000.19484
1979, 1080600000.21612
1980, 1383800000.27676
1981, 1479400000.29588
1982, 1474200000.29484
1983, 1623600000.32472
1984, 1816200000.24216
1985, 2009400000.0
1986, 2318000000.0
1987, 2047200000.0
1988, 2613926800.0
1989, 2736243800.0
1990, 3096289800.0
1991, 3473562850.25798
1992, 2257129873.66261
1993, 1878253818.03275
1994, 2167569095.07336
1995, 2813313278.81082
1996, 2907517543.41886
1997, 3338949151.59927
1998, 3723903723.63772
1999, 4153725966.80203
2000, 6813565983.23285
2001, 6331970412.79653
2002, 6205847136.95396
2003, 5071947798.02544
2004, 6087360734.62315
2005, 7030149790.90123
2006, 7638739123.63747
2007, 9228637766.35319
2008, 10432962724.6183
2009, 11597002929.7039
2010, 11859312627.1744
2011, 13008746038.8867
2012, 13708925402.9447
2013, 14902488489.1697
2014, 15146883647.3239
2015, 14849629407.8872
2016, 14069277532.5199
2017, 15093357143.2889
2018, 16403864522.0538
2019, 15016090929.5125
2020, 14508222518.3018
2021, 20877414952.6375
2022, 20253551884.6055
2023, nan
