date, val
1960,37029883876.1839
1961,39232435784.0358
1962,42161481858.0819
1963,48421923459.1235
1964,56480289940.9899
1965,59554854575.8085
1966,45865462034.2857
1967,50134942204.0
1968,53085455870.6667
1969,58447995017.3333
1970,62422483054.6667
1971,67351404351.833
1972,71463193831.0092
1973,85515269585.4
1974,99525899116.054
1975,98472796456.884
1976,102717164466.397
1977,121486641441.309
1978,137300295313.3
1979,152991653793.77
1980,186325345086.661
1981,193491368445.573
1982,200715624830.902
1983,218262146413.158
1984,212157645177.652
1985,232511554840.372
1986,248985994040.59
1987,279033584092.223
1988,296589670895.932
1989,296042052944.66
1990,320979026420.035
1991,270105341879.226
1992,288208070278.013
1993,279295648982.529
1994,327275583530.004
1995,360281909643.489
1996,392896866204.516
1997,415867563592.829
1998,421351317224.941
1999,458820417337.807
2000,468394937255.803
2001,485441014538.638
2002,514937948874.212
2003,607699285436.048
2004,709148514815.788
2005,820381595510.643
2006,940259888794.351
2007,1216736438842.41
2008,1198895139014.62
2009,1341888016984.36
2010,1675615519489.35
2011,1823051829900.81
2012,1827637590787.19
2013,1856721507681.08
2014,2039126479228.11
2015,2103588360066.32
2016,2294796885682.55
2017,2651474262735.28
2018,2702929641707.38
2019,2835606256616.03
2020,2671595405986.86
2021,3150306839142.13
2022,3416645826052.87
2023,nan
