date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,2097199161.12034
1966,2391199043.52038
1967,2441599023.36039
1968,2662798934.88043
1969,2769198892.32044
1970,2873638850.54446
1971,3880392195.40688
1972,4450537925.33189
1973,5408804607.3129
1974,13006948296.2705
1975,12022811620.7867
1976,13132252801.9372
1977,14137406740.5066
1978,15503557496.1916
1979,24749063922.4796
1980,28638868355.9196
1981,25058020338.2535
1982,21577153356.4192
1983,20871081080.1538
1984,21700082752.9369
1985,21445970613.7595
1986,17903989745.178
1987,22368704133.6668
1988,20690322152.8945
1989,24313855653.3993
1990,18427777777.7778
1991,11009993703.1474
1992,19858555214.7239
1993,23941391390.7285
1994,24848483838.3838
1995,27186980646.5448
1996,31492373308.7516
1997,30350190704.4361
1998,25943705784.2996
1999,30122365849.2518
2000,37718743480.0751
2001,34889559869.8326
2002,38135788413.8276
2003,47874582231.588
2004,59439090600.6108
2005,80798630136.9863
2006,101557330723.423
2007,114634043361.692
2008,147379737229.753
2009,105968691905.416
2010,115416580893.0
2011,154079839408.071
2012,174047996684.957
2013,174167897908.593
2014,162650272167.89
2015,114585576961.43
2016,109406328917.014
2017,120687539805.505
2018,138202535799.918
2019,136191825724.364
2020,105948807280.731
2021,137384258875.558
2022,175363265306.122
2023,nan
