date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,874000000.0
2001,906000000.0
2002,927000000.0
2003,748000000.0
2004,897000000.0
2005,949000000.0
2006,1119000000.0
2007,1373000000.0
2008,1726000000.0
2009,1768000000.0
2010,1998000000.0
2011,2398000000.0
2012,2791614000.0
2013,3177198100.0
2014,3225652000.0
2015,3227075700.0
2016,3398419600.0
2017,3390703400.0
2018,3422754800.0
2019,3319596500.0
2020,3039982500.0
2021,3509000000.0
2022,4001046970.0
2023,nan
