date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, 28904164239.3038
1991, 31991785107.4578
1992, 33887005288.2892
1993, 30660029871.1833
1994, 28610532505.2321
1995, 25541383196.7184
1996, 27884630117.8887
1997, 30700890193.4192
1998, 27251275902.7007
1999, 35975878804.2949
2000, 38270983031.7
2001, 34112079628.7572
2002, 20481889763.7795
2003, 26265625000.0
2004, 33122307692.3077
2005, 47334697612.4308
2006, 60094248771.565
2007, 68032985519.1
2008, 86710739535.8756
2009, 60808538331.5875
2010, 75380800665.2029
2011, 48169243832.0503
2012, 92540964666.6463
2013, 75351117629.3591
2014, 57372352561.9874
2015, 48717506273.4399
2016, 49912085228.2887
2017, 67157451661.405
2018, 76686048497.4801
2019, 69254143966.8182
2020, 46808208746.0839
2021, 39798423941.0335
2022, 45752336035.9846
2023, nan
