date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,1007484991031.21
1990,1179293266842.22
1991,1254808462964.44
1992,1361272001640.86
1993,1606771008563.36
1994,1815898071015.49
1995,1941652491765.78
1996,2100974971730.11
1997,2303279560276.55
1998,2331584223993.11
1999,2107165054124.09
2000,2326883040769.8
2001,2282895964858.33
2002,2053065187772.8
2003,2092028240998.63
2004,2405435175136.4
2005,2902949778310.09
2006,3396739151882.84
2007,3998414040764.94
2008,4643116909844.47
2009,4358132853812.8
2010,5396773607490.71
2011,6137582602219.09
2012,6209205490292.95
2013,6360884125593.49
2014,6482208032334.84
2015,5420470092541.42
2016,5285689128986.34
2017,5866303818641.23
2018,5742577449796.09
2019,5660897574206.23
2020,4809518812031.76
2021,5553340649720.43
2022,6302490414791.98
2023,nan
