date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,82997453337.7456
1982,82568676267.752
1983,83730930309.4496
1984,87346297180.943
1985,84825422847.456
1986,99852067988.2752
1987,115125248937.137
1988,103206915766.875
1989,113735924945.192
1990,141891372926.36
1991,162495729453.551
1992,122483564490.431
1993,132847515557.971
1994,138938815110.273
1995,136313224589.994
1996,141958637067.185
1997,152262649305.074
1998,156049750891.459
1999,158925256223.011
2000,186809318474.339
2001,186699196459.671
2002,201094326992.533
2003,219463200028.277
2004,257711816421.335
2005,308501631373.175
2006,356636633411.267
2007,429218011041.139
2008,514563539383.999
2009,528452839604.879
2010,594157764345.532
2011,432139521562.834
2012,410092006489.203
2013,418152247677.836
2014,450512676609.535
2015,450746097287.569
2016,446660010173.2
2017,494149568983.413
2018,418173076161.261
2019,445190704339.154
2020,438045256317.456
2021,465047139991.8
2022,528124562235.072
2023,nan
