date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,42463576.1589404
1981,44781456.9536424
1982,47911340.1834794
1983,57829787.2340426
1984,109503546.099291
1985,127190757.959989
1986,141882254.230178
1987,141223029.383064
1988,168514513.375071
1989,189514434.244
1990,215043969.849246
1991,244396761.92334
1992,284875809.039634
1993,322417837.161971
1994,356014932.136461
1995,398988954.970263
1996,450382327.952421
1997,508223602.37893
1998,540096397.621071
1999,589239753.610875
2000,624337145.284622
2001,870031676.798793
2002,897031250.0
2003,1052121055.97237
2004,1226829564.81545
2005,1163362434.32768
2006,1575200390.9349
2007,1868383459.84347
2008,2271646188.14474
2009,2345294878.6681
2010,2588176058.41146
2011,2774350237.79742
2012,2886163995.99666
2013,3295009236.55661
2014,3697353036.58648
2015,4129505319.81871
2016,4409942623.38674
2017,4816426259.51373
2018,5404344159.49959
2019,5726094797.67486
2020,3712604580.32081
2021,5254366310.44801
2022,6170638746.965
2023,nan
