date,val
1960,325105674243.531
1961,320673160745.599
1962,324168102362.166
1963,356741453797.079
1964,407002850853.176
1965,449100685221.437
1966,455768780938.891
1967,473852152041.677
1968,498478448025.492
1969,555484655217.095
1970,613167104980.153
1971,652979356449.949
1972,730449454990.271
1973,906065477331.791
1974,1133389531667.28
1975,1284612168198.68
1976,1366249311841.64
1977,1530842488942.24
1978,1771788860242.62
1979,2140226198453.68
1980,2599993849752.94
1981,2895368525493.95
1982,2788501934469.89
1983,2776228271397.84
1984,2833352051038.67
1985,2834419368274.2
1986,2883617605845.24
1987,3041572073557.67
1988,3282469073711.89
1989,3323188071350.24
1990,3709881094821.91
1991,3577995916529.82
1992,3765955546845.66
1993,4195017812665.89
1994,4372352995486.83
1995,4942686974190.52
1996,5444135606945.6
1997,5765175438067.89
1998,5610935709274.73
1999,5330738144656.02
2000,5830183109530.4
2001,5888367399013.97
2002,6027440804501.75
2003,6791961941963.9
2004,8054944523179.65
2005,9577960033013.03
2006,11365771711611.8
2007,14040931885615.2
2008,16786962311362.3
2009,16376207089161.5
2010,19970664770159.1
2011,23799213978477.4
2012,25375843431607.0
2013,26873320442592.0
2014,27770661614209.1
2015,26306405505225.5
2016,26514494477467.7
2017,29143948663893.0
2018,30988164983467.2
2019,31716230149539.0
2020,30578372789487.2
2021,36110412339698.7
2022,38281934115375.6
2023,nan
