date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, 2310099100.0
1982, 2552401933.33333
1983, 2725736633.33333
1984, 2098734600.0
1985, 2186505475.0
1986, 2896178866.66667
1987, 3020611600.0
1988, 3204461566.66667
1989, 3576966800.0
1990, 2560785660.0
1991, 2379018326.31579
1992, 1317611863.84977
1993, 768401634.154573
1994, 925817092.217484
1995, 1452165005.2384
1996, 1345719472.35883
1997, 1180934202.83801
1998, 1124440204.84738
1999, 1057408588.68269
2000, 1136896123.61298
2001, 1267997934.3125
2002, 1396555719.97409
2003, 1595297355.78349
2004, 1992066808.09598
2005, 2523471601.10421
2006, 3414055661.61598
2007, 4234999703.90059
2008, 5623216608.04288
2009, 4583850367.88972
2010, 7189481998.90094
2011, 10409797377.8571
2012, 12292770631.565
2013, 12582122604.2577
2014, 12226514668.0622
2015, 11619892590.6941
2016, 11181350649.3573
2017, 11480847740.736
2018, 13178094720.4986
2019, 14206359017.5143
2020, 13312981429.0891
2021, 15286441737.6686
2022, 17146471626.3963
2023, nan
