date,val
1960,nan
1961,159213430.245265
1962,164271557.562086
1963,168186297.204107
1964,224495743.784017
1965,255340475.018083
1966,266533605.165576
1967,282615310.216284
1968,311395937.241935
1969,295062308.493948
1970,309405316.058687
1971,335568907.088021
1972,391669449.251139
1973,493237876.295464
1974,613010552.478717
1975,703377837.452223
1976,775045516.850002
1977,799030017.145209
1978,804629876.761441
1979,951900945.208912
1980,1047925105.58853
1981,1105494681.67335
1982,1108776652.78389
1983,1165171263.38241
1984,1074373230.28438
1985,1009723326.31511
1986,1186628778.51429
1987,1344664724.66283
1988,1414951290.06683
1989,1450647019.18099
1990,1506914407.82047
1991,2133692696.74857
1992,2164298425.48412
1993,1847353211.3475
1994,1944876755.00708
1995,2091726101.43014
1996,2132087009.28942
1997,2071996564.05296
1998,2032347664.94993
1999,1985922775.53351
2000,1779520886.47015
2001,1746063557.61355
2002,1777057481.26043
2003,2051147606.73687
2004,2362501023.24249
2005,2936019525.60241
2006,3919577285.92703
2007,4346212355.02975
2008,5206437193.80413
2009,4714595547.75102
2010,5628878797.98257
2011,6764627745.9033
2012,6728208836.22143
2013,7223071097.08417
2014,6592537781.81518
2015,6166863896.68677
2016,6398747592.13185
2017,6800135898.28827
2018,7473550557.07379
2019,7894764885.82312
2020,8260752385.23089
2021,9222536364.01272
2022,9780863578.97688
2023,nan
