date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, 2588999218.76
1989, 1013211920.5298
1990, 1009455483.87097
1991, 1488804123.71134
1992, 1792800000.0
1993, 1756454248.36601
1994, 3863185119.04762
1995, 4140470000.0
1996, 4308351902.78601
1997, 4389973489.86032
1998, 4635267224.84195
1999, 4855717874.68247
2000, 5107329007.0922
2001, 5323146565.70315
2002, 5224213017.54386
2003, 5322454925.84746
2004, 5795568204.64532
2005, 6321324279.14826
2006, 6763418645.81377
2007, 7423365339.17706
2008, 8496948362.72092
2009, 8298736418.16444
2010, 8758619000.75242
2011, 9774319976.77873
2012, 10531980241.4474
2013, 10982995267.0341
2014, 11880434070.7811
2015, 12756685522.4807
2016, 13286101284.7856
2017, 13785924374.2151
2018, 13025234958.647
2019, 12699028991.3771
2020, 12678162403.5929
2021, 14145880399.1935
2022, 15671583939.9889
2023, nan
