date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,nan
2006,nan
2007,nan
2008,nan
2009,nan
2010,47562844.6104251
2011,65071879.7787162
2012,101055722.95058
2013,94385014.9425842
2014,99149244.4001333
2015,84863440.5801997
2016,97541943.0355053
2017,109355638.866955
2018,130995566.30391
2019,125160115.547819
2020,124685688.161094
2021,145536615.893046
2022,151647846.128953
2023,nan
