date, val
1960,1073493800833.99
1961,1136693306880.0
1962,1226937167068.74
1963,1322131904575.66
1964,1445096831239.7
1965,1568558028052.79
1966,1721564335988.78
1967,1848030179343.33
1968,2004624217662.54
1969,2205073735188.11
1970,2409793706644.89
1971,2667865777737.13
1972,3095864028573.83
1973,3741416810231.78
1974,4191601450741.88
1975,4699459950496.31
1976,5095692090249.62
1977,5750216340189.43
1978,6912222472362.14
1979,7980895442563.75
1980,8868572542392.95
1981,9029538087040.62
1982,8886875949965.1
1983,9186686537153.57
1984,9606069677783.52
1985,10116678922653.3
1986,12260286310250.2
1987,14198967736254.0
1988,16004524434765.4
1989,16746595179367.4
1990,18856485088343.4
1991,19966715737476.2
1992,21476873748809.3
1993,21809003524767.4
1994,23305560982010.0
1995,25681295886679.9
1996,25899388210744.5
1997,25507727602748.3
1998,25774931850050.8
1999,27071122123056.4
2000,27669612109064.8
2001,27415355083325.6
2002,28601703298663.3
2003,31985348235245.4
2004,35608843977402.2
2005,37648161960570.8
2006,39718287206540.4
2007,43483774607883.3
2008,46172647165986.5
2009,43184012193503.8
2010,45297220132987.1
2011,48721217592038.2
2012,48676832992568.1
2013,49322705153139.4
2014,50329424990157.0
2015,47447635272040.2
2016,48350692190870.1
2017,50475936774223.1
2018,53402556614341.3
2019,53912943272768.0
2020,52590370145873.6
2021,58623788402038.1
2022,59849878381707.6
2023,nan
