date, val
1960, 18443988245.7716
1961, 19533547184.223
1962, 20834497521.8101
1963, 22102222964.945
1964, 24151909680.0735
1965, 26109276423.7822
1966, 28560474639.3602
1967, 28147580848.455
1968, 29249077893.6992
1969, 32413291916.4965
1970, 41285104881.4373
1971, 39200444662.587
1972, 46020262918.3706
1973, 56501949141.5204
1974, 81674564509.804
1975, 94230613401.3167
1976, 113622074335.152
1977, 123491335720.91
1978, 137653951751.953
1979, 177775812247.876
1980, 225214998078.674
1981, 322454686473.975
1982, 298834645231.199
1983, 239029927052.413
1984, 221439303505.472
1985, 220083414369.401
1986, 213367061416.22
1987, 233177927844.307
1988, 245696449802.93
1989, 248242023324.961
1990, 406714861767.161
1991, 221557831422.664
1992, 170271061740.865
1993, 177783300896.002
1994, 185211121857.43
1995, 274997760194.794
1996, 332565487839.374
1997, 365637813164.297
1998, 390147405181.649
1999, 240516103272.971
2000, 278338197586.22
2001, 265759597022.196
2002, 305593263940.059
2003, 332219627552.373
2004, 414080241790.959
2005, 516817659395.877
2006, 652739438827.27
2007, 791128662328.913
2008, 987167868333.43
2009, 904003901020.399
2010, 1064216809201.18
2011, 1239034064027.83
2012, 1346208604021.81
2013, 1471559782482.3
2014, 1562757808863.22
2015, 1338986801176.84
2016, 1223274837744.55
2017, 1302929583567.18
2018, 1353328613575.52
2019, 1426582966203.49
2020, 1309417999889.29
2021, 1432814193024.43
2022, 1617245641605.59
2023, nan
