date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, 437447620.704662
1972, 525633065.44564
1973, 716679317.389917
1974, 1018241258.71443
1975, 1137316407.19546
1976, 1140399982.46557
1977, 1189769093.58896
1978, 1379938899.22468
1979, 1690541200.27531
1980, 1966098871.623
1981, 2023806842.7531
1982, 1974340784.10766
1983, 1877614909.96221
1984, 1979415833.78969
1985, 1873327091.11216
1986, 2042413981.57409
1987, 1987652106.80162
1988, 2033226862.71953
1989, 2103611535.6127
1990, 2354687466.0651
1991, 2500551371.96273
1992, 2743014361.46894
1993, 2908044325.09111
1994, 3426105661.74915
1995, 3716903983.91075
1996, 3978860484.90595
1997, 3985888227.50516
1998, 3413057976.54108
1999, 3750909522.21424
2000, 3435656409.26622
2001, 3389381028.84805
2002, 3558832712.52145
2003, 4239179347.08948
2004, 4877983057.20364
2005, 5419134785.44952
2006, 5688865057.59385
2007, 6273728190.35404
2008, 6704438346.94149
2009, 6031358946.02938
2010, 6634285955.01849
2011, 7736812355.73422
2012, 8198463635.32172
2013, 8523914644.70586
2014, 9263445656.65537
2015, 9054326773.27404
2016, 9504027215.73989
2017, 10256679807.601
2018, 10764416947.198
2019, 10709524679.9782
2020, 9492350931.30444
2021, 9500154100.4459
2022, 10324332231.7802
2023, nan
