date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, 38067567567.5676
1988, 40424528301.8868
1989, 41450777202.0725
1990, 38247882300.4904
1991, 28850634899.856
1992, 25121666666.6667
1993, 26361160449.9704
1994, 30072805104.2542
1995, 37430162102.6125
1996, 36937074278.3004
1997, 35575214078.2428
1998, 41696091973.7076
1999, 35953156753.739
2000, 37253739511.1273
2001, 40395116581.4832
2002, 46065502702.5817
2003, 57806384143.166
2004, 74973656851.8077
2005, 98454380120.0761
2006, 122023735992.706
2007, 174588782938.583
2008, 214317202478.266
2009, 174102268534.84
2010, 170029359010.667
2011, 192613579705.885
2012, 179132893143.417
2013, 189789258566.244
2014, 199713780259.318
2015, 177883883008.747
2016, 185287630540.431
2017, 210147163769.848
2018, 243316029944.056
2019, 251017797625.017
2020, 251362514349.697
2021, 285810244501.933
2022, 300691354864.855
2023, nan
