date,val
1960,119000024.0
1961,122000016.0
1962,125000008.0
1963,128000000.0
1964,129999994.0
1965,148799980.0
1966,124525702.857143
1967,159560018.0
1968,172200018.0
1969,188700037.0
1970,219900006.0
1971,222952504.40607
1972,246457838.336681
1973,290746157.145921
1974,308458423.183854
1975,571863500.248658
1976,637753853.12552
1977,746650613.034794
1978,905709076.42303
1979,1109346130.95265
1980,1254765641.52116
1981,1407062526.91521
1982,1407243139.2545
1983,1479687586.94292
1984,1587413083.9206
1985,1715626330.59472
1986,1944710683.87148
1987,2157432667.61598
1988,2395492686.78166
1989,2405022593.05165
1990,2550185679.08109
1991,1911600236.67461
1992,2029026961.55894
1993,1971525711.83511
1994,753636370.454546
1995,1293535193.49248
1996,1382334879.40812
1997,1851558197.31088
1998,1989343546.17594
1999,2157240525.97173
2000,2068955252.83541
2001,1966719933.25386
2002,1966111528.56793
2003,2138354521.02184
2004,2376642785.76983
2005,2933999088.59914
2006,3319974269.10464
2007,4070746222.26691
2008,5180228095.99803
2009,5674899033.27806
2010,6125216482.26839
2011,6885492660.83242
2012,7655465589.74669
2013,7820741499.0814
2014,8239766320.0954
2015,8544621756.79813
2016,8696069807.42495
2017,9252834120.39358
2018,9636254325.02444
2019,10346326599.029
2020,10172303393.0612
2021,11054517345.7109
2022,13311487445.0686
2023,nan
