date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,4187777711.11111
1969,4485777644.44445
1970,5377268848.52945
1971,7184816838.17317
1972,9664177516.69125
1973,14947535415.9516
1974,45412971909.3795
1975,46773144158.1999
1976,64005623870.3227
1977,74189100114.3193
1978,80266629495.7604
1979,111858494946.854
1980,164539580965.984
1981,184291452896.793
1982,153240288166.745
1983,129171602025.147
1984,119624918956.209
1985,103897892810.979
1986,86962013010.5552
1987,85695941760.0451
1988,88256162068.9725
1989,95344352823.6969
1990,117630261604.888
1991,132223257865.578
1992,137087867284.342
1993,132967891655.205
1994,135174876355.656
1995,143343025756.299
1996,158662377388.989
1997,165963594803.636
1998,146775428759.278
1999,161717040000.0
2000,189514910222.667
2001,184137517724.863
2002,189605920240.516
2003,215807655244.424
2004,258742263029.008
2005,328459700124.064
2006,376900135720.729
2007,415964583059.205
2008,519796738631.128
2009,429097899279.013
2010,528207298529.872
2011,676634577273.045
2012,741849984943.256
2013,753864543430.248
2014,766605946720.427
2015,669484381328.891
2016,665999879694.192
2017,714994694991.651
2018,846583791842.629
2019,838564705295.139
2020,734271183944.989
2021,874156115900.131
2022,1108571517285.38
2023,nan
