1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, nan
1995, nan
1996, nan
1997, nan
1998, nan
1999, nan
2000, nan
2001, nan
2002, nan
2003, nan
2004, nan
2005, nan
2006, nan
2007, nan
2008, 14586253383.0632
2009, 12231264525.0671
2010, 14602072410.9506
2011, 14907308932.7534
2012, 11931472169.4915
2013, 18426469016.9492
2014, 13962212847.4576
2015, 11997800760.2242
2016, nan
2017, nan
2018, nan
2019, nan
2020, nan
2021, nan
2022, nan
2023, nan
