date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,75951133.3777948
2002,85171073.8777498
2003,102085769.123419
2004,114582283.916382
2005,136450662.390592
2006,142775104.081626
2007,149146918.888611
2008,188021165.00338
2009,200668065.03175
2010,190021192.489536
2011,226455001.243083
2012,229371348.202606
2013,267041747.584354
2014,293119143.246825
2015,259999643.047388
2016,292267272.196925
2017,322002845.229335
2018,383717327.830508
2019,412976064.479214
2020,471229484.607144
2021,524402450.755612
2022,542686976.457587
2023,nan
