1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, nan
1995, nan
1996, nan
1997, nan
1998, nan
1999, nan
2000, nan
2001, nan
2002, nan
2003, nan
2004, nan
2005, nan
2006, nan
2007, nan
2008, nan
2009, nan
2010, nan
2011, 936089385.47486
2012, 985865921.78771
2013, 1022905027.93296
2014, 1361811520.80425
2015, 1417888712.18062
2016, 1427017201.87971
2017, 1353212141.44053
2018, 1259200442.69574
2019, 1407880465.5512
2020, 1236428075.42112
2021, 1353071060.2652
2022, 1537088724.46126
2023, nan
