date, val
1960,12012024.6246505
1961,11592023.7636487
1962,12642025.9161531
1963,13923028.5422085
1964,15393031.5557147
1965,15603031.9862156
1966,16443033.7082191
1967,16632032.1339974
1968,16074027.6473276
1969,16452028.2974887
1970,18432031.7030945
1971,21965950.7711142
1972,30645122.9204727
1973,36896280.4764104
1974,43134496.1645367
1975,47803145.9480985
1976,49278981.7550701
1977,64526401.4638544
1978,85552365.8005137
1979,127261099.223864
1980,156783829.540281
1981,163750728.211341
1982,157211789.70543
1983,156098236.95757
1984,160992921.001345
1985,179691482.681002
1986,221147061.34835
1987,265212956.902919
1988,301985618.111561
1989,324333366.456377
1990,392163560.879912
1991,398307169.860405
1992,461409398.855893
1993,504230620.551871
1994,517570058.151035
1995,540733047.733048
1996,535250347.089479
1997,598966982.350186
1998,647287375.762528
1999,662838614.880674
2000,654212394.27164
2001,662064155.920692
2002,742134837.50919
2003,750847230.099263
2004,893012218.181818
2005,977899381.818182
2006,1081441283.31798
2007,1077308813.82945
2008,979597394.293453
2009,851064347.087496
2010,981917973.654922
2011,1059249931.66967
2012,1089880685.4713
2013,1324915185.0959
2014,1387576450.14334
2015,1391427967.33495
2016,1458954073.30681
2017,1529773473.31153
2018,1588050311.16454
2019,1645090567.04612
2020,1183515314.03478
2021,1286687308.25807
2022,1588438144.37685
2023,nan
