date,val
1960,80911608954.4867
1961,71369633800.9542
1962,65176021558.8546
1963,70511435007.3945
1964,81386349482.7507
1965,94785047708.444
1966,103660508732.117
1967,100730137280.181
1968,101931885333.332
1969,114393990287.83
1970,127001340199.262
1971,136588746187.874
1972,154903886213.834
1973,194917492496.527
1974,220680062228.993
1975,247676641635.425
1976,251810418534.995
1977,290442692872.471
1978,353500246204.135
1979,415284953507.986
1980,496343317295.533
1981,499647851491.156
1982,504493686882.609
1983,519430824170.312
1984,535437842811.723
1985,525937983887.2
1986,523872370537.858
1987,572424015653.474
1988,670392652027.026
1989,730457643223.582
1990,699931258166.728
1991,752432351747.37
1992,876266386396.824
1993,1063972475369.76
1994,1070596761938.34
1995,1320494506325.39
1996,1516559018018.29
1997,1568778371281.75
1998,1431500901662.58
1999,1576186529001.33
2000,1734113865557.17
2001,1844967780095.86
2002,2041967134708.25
2003,2311121145269.92
2004,2679749403397.96
2005,3104002019660.15
2006,3738289871387.02
2007,4726056492626.06
2008,5979810899729.63
2009,6483330322061.3
2010,7890849701684.84
2011,9638828252887.68
2012,10746699916765.3
2013,11855460858548.1
2014,12784356235858.6
2015,13306939164821.9
2016,13597778727368.9
2017,14862792217017.2
2018,16619858519557.6
2019,17192007435430.8
2020,17465796008751.6
2021,20813163295456.1
2022,21167325456079.4
2023,nan
