1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, 2629395066.27017
1991, 2536585365.85366
1992, 1909246640.78093
1993, 1646693642.12127
1994, 1522018435.70705
1995, 1231567145.36448
1996, 1043654822.33503
1997, 921517486.668177
1998, 1320199581.52261
1999, 1086612582.86366
2000, 860541842.263697
2001, 1080772703.1461
2002, 1221106073.04545
2003, 1555318430.74928
2004, 2076176636.45758
2005, 2312352267.96248
2006, 2830213562.63077
2007, 3719524180.7389
2008, 5161299725.27673
2009, 4979471963.83187
2010, 5642221528.6282
2011, 6522755783.43972
2012, 7633036366.08862
2013, 8448410727.21353
2014, 9112606074.45562
2015, 8271431932.39205
2016, 6992416096.89018
2017, 7536403146.65439
2018, 7765000282.26569
2019, 8300813889.60795
2020, 8133963813.07025
2021, 8937805347.13963
2022, 10492123387.7931
2023, nan
