1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, 942570159356.147
1990, 1109458099269.15
1991, 1187260885890.04
1992, 1293171728057.12
1993, 1534916859960.34
1994, 1733953770927.55
1995, 1853964429260.1
1996, 2014992698592.39
1997, 2210296016800.02
1998, 2231266382090.11
1999, 2000304935579.08
2000, 2212445482711.99
2001, 2159748619392.63
2002, 1925774689420.98
2003, 1958739530341.29
2004, 2262602309478.6
2005, 2749008665063.56
2006, 3231124397066.96
2007, 3822817021789.9
2008, 4460896971421.85
2009, 4173919028802.26
2010, 5207430282655.3
2011, 5935880342799.34
2012, 6001429314837.82
2013, 6148458445163.49
2014, 6265139094657.66
2015, 5192258651802.86
2016, 5051195544946.59
2017, 5626747446682.67
2018, 5500845963862.16
2019, 5409465895796.12
2020, 4561170249972.34
2021, 5281323492901.43
2022, 6001569526439.77
2023, nan
