date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,32506741.7201204
1976,30036416.9619944
1977,34139387.8908849
1978,41567471.6721987
1979,44667002.0120724
1980,53260077.4311091
1981,62242013.3302689
1982,62068161.0711025
1983,60863963.963964
1984,64248354.5414656
1985,60058663.3144773
1986,68195855.6149733
1987,81667133.4546982
1988,106657267.367342
1989,106344854.986095
1990,113563821.577404
1991,132201141.446861
1992,137066290.550071
1993,138489884.393064
1994,195990986.21421
1995,208871665.748682
1996,222100576.345483
1997,214991452.314998
1998,191504892.761394
1999,199208717.501913
2000,204848487.806485
2001,181117230.406546
2002,182764280.828501
2003,202246591.215502
2004,230657627.231323
2005,261803684.241754
2006,292230662.399012
2007,298519024.14082
2008,344436582.075764
2009,312377678.83941
2010,366832215.189578
2011,414533117.692299
2012,470705196.432659
2013,450650633.04135
2014,439877614.419206
2015,437003078.563584
2016,420548712.433288
2017,460374354.847247
2018,488906838.594866
2019,512053692.078675
2020,484796854.918756
2021,469228219.665791
2022,nan
2023,nan
