date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,8824743.94191672
1991,9365486.89937963
1992,9742606.01858924
1993,9631024.91567838
1994,10887215.5823684
1995,11025675.4282512
1996,12335203.3825222
1997,12701093.9749737
1998,12757408.4637285
1999,13687141.1058778
2000,15073975.5349377
2001,13964732.327114
2002,16842672.5952874
2003,19456338.0318228
2004,22798274.9795551
2005,22909979.8163078
2006,24096875.4635825
2007,28450168.692765
2008,31874434.857882
2009,28076983.9703819
2010,32105408.4771121
2011,39196957.4908996
2012,39345579.4723758
2013,38615890.6320746
2014,38760982.6540096
2015,36811936.0824587
2016,41629064.2232388
2017,45276595.3533146
2018,48015259.8751356
2019,54123198.5662913
2020,51746594.3148543
2021,60196405.7138393
2022,59065979.0227679
2023,nan
