date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,13360607990.6751
1991,13677622222.2222
1992,12941297376.0933
1993,13099013835.5111
1994,12899156990.6156
1995,13350468917.4115
1996,13948892215.5689
1997,14744603773.5849
1998,14988971210.8383
1999,17078465982.0282
2000,13760513969.314
2001,11401421329.1974
2002,9687788512.80184
2003,10134453435.4603
2004,12030023547.8807
2005,14307509838.8053
2006,17330833852.919
2007,22311393927.8817
2008,29549438883.8338
2009,33689223673.2577
2010,49765676402.4495
2011,60178909297.208
2012,67517349212.0609
2013,73180037911.4173
2014,80845385816.4497
2015,86196264741.8843
2016,86138288632.5513
2017,62081322740.0162
2018,52870108217.2949
2019,60283503705.3907
2020,60224701296.7885
2021,69600614987.3509
2022,80391853887.4049
2023,nan
