date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, nan
1995, nan
1996, nan
1997, nan
1998, nan
1999, nan
2000, nan
2001, nan
2002, 3262000000.0
2003, 3443000000.0
2004, 3797000000.0
2005, 4428000000.0
2006, 4484000000.0
2007, 4784000000.0
2008, 4244000000.0
2009, 4201000000.0
2010, 4324000000.0
2011, 4223000000.0
2012, 4089000000.0
2013, 3738000000.0
2014, 3565000000.0
2015, 3663000000.0
2016, 3798000000.0
2017, 3794000000.0
2018, 3923000000.0
2019, 4121000000.0
2020, 4189000000.0
2021, 4444000000.0
2022, nan
2023, nan
