date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,119258835.335525
1980,121185497.569261
1981,113781795.82356
1982,114501912.522867
1983,117389554.191406
1984,144482515.368336
1985,131856420.703184
1986,126498935.335649
1987,139464173.547324
1988,158351368.433149
1989,154013202.116475
1990,168879207.244148
1991,201334169.054441
1992,209088824.608438
1993,200491853.167847
1994,233701301.490486
1995,249333250.082508
1996,261370044.486614
1997,272771209.113662
1998,262293410.708334
1999,268006972.690296
2000,272014627.835262
2001,257926881.72043
2002,262596535.549028
2003,314471413.001776
2004,364996869.129618
2005,394962433.029368
2006,439358586.535588
2007,516392922.513728
2008,590748429.401902
2009,592622319.145664
2010,670712979.682038
2011,770153588.218833
2012,747839697.746593
2013,758304466.245339
2014,772315983.81843
2015,730870802.967051
2016,780889605.899977
2017,880061833.690341
2018,914736985.430944
2019,936526267.622513
2020,909421043.508407
2021,971636097.850666
2022,1055811723.74753
2023,nan
