date,val
1960,1381135479871.29
1961,1446355951851.15
1962,1546369168288.82
1963,1670666024902.52
1964,1832615520368.05
1965,1994519203522.57
1966,2161644938244.92
1967,2308597009339.41
1968,2491804907882.14
1969,2745215843083.19
1970,3009970148766.35
1971,3323043011474.53
1972,3835299184390.59
1973,4655916456683.01
1974,5333766079846.99
1975,5965065154144.33
1976,6480247175250.15
1977,7329899696227.96
1978,8738280397493.86
1979,10163180097207.1
1980,11495788728590.5
1981,11853208811986.8
1982,11684061489731.6
1983,12000649159392.4
1984,12460879740359.9
1985,12977172366636.7
1986,15348791135000.6
1987,17551012270510.1
1988,19641101601883.3
1989,20434564489549.1
1990,22935041260489.8
1991,23932506768140.4
1992,25623906924793.2
1993,26235071296754.5
1994,27997506090383.2
1995,31175460550856.0
1996,31899770175146.8
1997,31797633354814.9
1998,31748589989088.3
1999,32784571900951.0
2000,33898969364124.9
2001,33689211605170.5
2002,34982494436235.9
2003,39219228352258.7
2004,44195418733394.3
2005,47859243040872.5
2006,51862621936457.3
2007,58446784385014.8
2008,64227645495829.6
2009,60885970983715.1
2010,66707071764655.3
2011,73965141177386.6
2012,75612548773168.6
2013,77714723867935.6
2014,79837156825125.5
2015,75283270551887.2
2016,76518978973662.1
2017,81484101071484.6
2018,86542678179037.4
2019,87777403956338.7
2020,85272676295874.0
2021,97153181162291.0
2022,100879560825391.0
2023,nan
