date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, nan
1995, nan
1996, nan
1997, nan
1998, nan
1999, nan
2000, nan
2001, nan
2002, nan
2003, nan
2004, nan
2005, nan
2006, nan
2007, nan
2008, 5181776768.71247
2009, 5015894692.97027
2010, 5343950556.07185
2011, 6341613609.97976
2012, 6163484244.63408
2013, 6735328609.65941
2014, 7074394734.88432
2015, 6295848422.71573
2016, 6682677289.98994
2017, 7180764703.35718
2018, 7878759714.82322
2019, 7899737577.47286
2020, 7717145217.81247
2021, 9412034299.23122
2022, 9409473517.95304
2023, nan
