date, val
1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, 12643821568.9626
1991, 14665445462.1149
1992, 17959367194.005
1993, 21736802664.4463
1994, 28019483763.5304
1995, 12796345679.0123
1996, 6496163615.66086
1997, 6838298530.54911
1998, 6322175565.94651
1999, 7639325295.88287
2000, 9679316770.18634
2001, 9852990692.98714
2002, 10693430511.4664
2003, 11777532662.0499
2004, 13867634371.4773
2005, 16731566717.1888
2006, 19063143369.858
2007, 21650528674.0933
2008, 26910855807.288
2009, 25130278212.5575
2010, 30906749533.221
2011, 32726417878.391
2012, 35401331609.5916
2013, 40415233436.1767
2014, 43228585321.3272
2015, 42444489522.2303
2016, 31317824943.2073
2017, 26842228828.5629
2018, 21606160783.9845
2019, nan
2020, nan
2021, nan
2022, nan
2023, nan
