date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,46.4753112792969
1979,46.9482612609863
1980,47.5308685302734
1981,48.111011505127
1982,48.676830291748
1983,48.8991813659668
1984,49.6164398193359
1985,50.5042190551758
1986,51.3067283630371
1987,51.9821090698242
1988,52.9797286987305
1989,53.8549308776855
1990,54.795768737793
1991,55.8139114379883
1992,56.8638610839844
1993,57.6829414367676
1994,58.4487800598145
1995,59.5942916870117
1996,60.8810386657715
1997,61.8283309936523
1998,63.0368881225586
1999,64.1111602783203
2000,64.8062973022461
2001,66.2423477172852
2002,67.3601989746094
2003,69.9890289306641
2004,70.5737762451172
2005,70.2333297729492
2006,69.1274108886719
2007,69.8765869140625
2008,70.676628112793
2009,69.5803909301758
2010,70.5184173583984
2011,72.2774963378906
2012,75.7018890380859
2013,73.276481628418
2014,77.5778732299805
2015,74.9812088012695
2016,76.3867263793945
2017,77.1703033447266
2018,74.2861328125
2019,74.6036605834961
2020,75.0228805541992
2021,75.2311782836914
2022,75.1715316772461
2023,nan
