date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,98.7918014526367
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,nan
2006,nan
2007,99.5931930541992
2008,nan
2009,99.7598419189453
2010,99.7711410522461
2011,99.7786331176758
2012,99.7757720947266
2013,99.7893600463867
2014,99.7889862060547
2015,99.7880630493164
2016,99.7900619506836
2017,99.7912292480469
2018,nan
2019,99.7959823608398
2020,nan
2021,nan
2022,nan
2023,nan
