date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,63.2081489562988
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,79.9917678833008
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,86.7236709594727
2002,nan
2003,nan
2004,nan
2005,nan
2006,nan
2007,90.7434692382812
2008,90.698112487793
2009,91.1678314208984
2010,nan
2011,92.2261505126953
2012,94.4605712890625
2013,nan
2014,nan
2015,92.455078125
2016,nan
2017,nan
2018,nan
2019,nan
2020,93.8525619506836
2021,nan
2022,nan
2023,nan
