date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,92.8097686767578
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,96.4949722290039
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,97.1651229858398
2005,97.7506866455078
2006,97.7521362304688
2007,97.9388427734375
2008,97.6306076049805
2009,97.6792678833008
2010,97.7489013671875
2011,97.7837524414062
2012,97.8945388793945
2013,98.0791320800781
2014,98.0937194824219
2015,98.1432571411133
2016,98.2505111694336
2017,nan
2018,98.4365005493164
2019,nan
2020,98.5944595336914
2021,nan
2022,nan
2023,nan
