date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,77.7884902954102
1975,77.8084487915039
1976,78.1908264160156
1977,78.6035537719727
1978,79.0456466674805
1979,79.4430923461914
1980,79.7575988769531
1981,80.1885833740234
1982,80.5832290649414
1983,80.9857177734375
1984,81.3649826049805
1985,81.7317428588867
1986,82.0908432006836
1987,82.4002380371094
1988,82.8426513671875
1989,83.2729721069336
1990,83.5946884155273
1991,84.2497482299805
1992,84.8778305053711
1993,85.5295486450195
1994,86.1509399414062
1995,86.7825393676758
1996,87.1184921264648
1997,87.4519195556641
1998,87.8068313598633
1999,88.1361312866211
2000,88.4030303955078
2001,88.5939025878906
2002,88.7448806762695
2003,89.618293762207
2004,89.5352478027344
2005,90.0569229125977
2006,89.9197082519531
2007,90.5113220214844
2008,90.7873687744141
2009,91.0988388061523
2010,91.0977783203125
2011,91.7859573364258
2012,92.0330429077148
2013,92.1015319824219
2014,92.5114822387695
2015,92.6756896972656
2016,93.1671371459961
2017,93.2591323852539
2018,93.3964614868164
2019,93.8924179077148
2020,93.9134292602539
2021,94.1902770996094
2022,94.3460922241211
2023,nan
