date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,46.4677581787109
1989,46.9131813049316
1990,47.3970184326172
1991,47.6701316833496
1992,47.860179901123
1993,48.0554504394531
1994,48.4701881408691
1995,48.6869888305664
1996,49.0180397033691
1997,49.6881103515625
1998,50.3867416381836
1999,50.9513816833496
2000,51.0876617431641
2001,52.2048301696777
2002,52.8600616455078
2003,53.0444297790527
2004,54.5051307678223
2005,53.6730117797852
2006,52.0235214233398
2007,53.3560791015625
2008,54.1950988769531
2009,54.6545715332031
2010,55.0857086181641
2011,57.1377105712891
2012,57.5988883972168
2013,58.550479888916
2014,58.891731262207
2015,59.3603096008301
2016,60.1097602844238
2017,61.1258888244629
2018,60.9201889038086
2019,61.1112289428711
2020,61.1898498535156
2021,61.6633796691895
2022,61.8706207275391
2023,nan
