date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,86.0769577026367
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,92.4775085449219
2005,nan
2006,93.4508666992188
2007,93.7617034912109
2008,94.0098419189453
2009,94.4301834106445
2010,94.7174835205078
2011,95.0258178710938
2012,95.671012878418
2013,96.046028137207
2014,96.2129287719727
2015,96.4771194458008
2016,96.7191925048828
2017,96.9244003295898
2018,97.2186126708984
2019,97.3782577514648
2020,nan
2021,nan
2022,nan
2023,nan
